Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,"Air transport, passengers carried",10206223,9442743,8795133,10352657.53,9569211.419,8785275.456,8761116,11152236,11237054,12689082,13852857,15125933.52
Greenland,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Grenada,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Guam,"Air transport, passengers carried",..,1255510,1172372,..,..,..,..,..,..,..,..,..
Guatemala,"Air transport, passengers carried",..,..,..,313892,326146.2062,288013.9008,78264,69768,93129,111830,155524,145795
Guinea,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Guyana,"Air transport, passengers carried",..,..,..,273160,340267.6232,247780.3477,0,0,..,..,..,26069
Haiti,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Honduras,"Air transport, passengers carried",..,..,..,501520,423655.3256,422016.8876,372972,239124,276689,275587,248964,411989
"Hong Kong SAR, China","Air transport, passengers carried",24133664,25401266,23973030,28347688,30293677,32247332.08,34644497,37933773,41867157,43683583,45580297,47101822
Hungary,"Air transport, passengers carried",3133574,3111575,2952885,12477063.18,13729553.53,12289555.08,13926540,16482060,20043787,21399963,26066294,31226848
Iceland,"Air transport, passengers carried",1720496,1423422,1364651,1851416.842,2150527,2400160,2602714,3035882.779,4134980,5710834,7242611,7819740.56
India,"Air transport, passengers carried",51897450,49877935,54446373,64374253.8,73996912,72151828.89,75589071,82718882.88,98927860,119577835,139752424,164035637.5
Indonesia,"Air transport, passengers carried",30405918,29766093,27421235,59384361.61,70912258.11,79405799.81,81721356,85215879.51,90095131,99274010,108393123,115154100.9
"Iran, Islamic Rep.","Air transport, passengers carried",13915755,12029236,13052716,18760850.38,19113946.16,17687478.52,16580818.01,16825260.83,13873256,17084581,26858178.78,25604871.41
Iraq,"Air transport, passengers carried",..,..,..,641129,761778.1744,784944.253,476484,476484,2142554,2019816,1591490.01,2075065.8
Ireland,"Air transport, passengers carried",60099058,69447262,77747207,84784226,89956333.51,92637189.19,93408036,98449140,115928738,134065078,153944513,167598633
Isle of Man,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Israel,"Air transport, passengers carried",4662615,4563041,4605452,5084798,5151469,5381980,5565864,5886728,6331198,6866472,6993888,7404373
Italy,"Air transport, passengers carried",37830745,30672048,33194501,32645164,33923370.51,31072962.16,27846220,27193939,28603919,29120041,26288001,27630435.6
Jamaica,"Air transport, passengers carried",1618165,1644056,1380000,0,0,0,46272,76244,92836,136744,151326,180951.272
Japan,"Air transport, passengers carried",99842338,97022471,86896527,109617021,89788818,98907859,107573000,110547000,114128000,117708000,123898000,126387527
Jordan,"Air transport, passengers carried",2246212,2355285,2323750,3077036.696,3267109.736,3438356,3294911,3211795,3065145,3181283,3381677,3383805
Kazakhstan,"Air transport, passengers carried",1295050,1275624,1192714,3098327,3786453.064,4064819.023,4785588,4918608,5081632,5007869,6903190,7143797
Kenya,"Air transport, passengers carried",2857464,2880546,2948920,4039583,4508698.012,4653459.735,4516500,4448530.528,4569473,4848016,5109576,5935831.097
Kiribati,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,66567,66567
"Korea, Dem. People’s Rep.","Air transport, passengers carried",110634,108974,101237,73052,78558.86155,100113.3486,371004,90335.875,87082,94919,103560,103560
"Korea, Rep.","Air transport, passengers carried",36655313,36077655,34168590,36987982,39911749.59,39969577.02,54530105,58289180,66093149,76859538,82818983,88157579
Kosovo,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,"Air transport, passengers carried",2659769,2523966,2597076,4563082,3722729.503,3481039,3244805,3530851,3752995,4069935,5731748,6464847
Kyrgyz Republic,"Air transport, passengers carried",274981,204525,309488,375602,526018.0125,494640.4268,771165,712284,967629,1015750,1122951,709198.9325
